Famille;Nuance;Numéro;Indice prix tonne;prix min;Indice prix ;prix max;prix réel 2018;prix estimé 2018;dernier prix connu;date d'application du dernier prix;taux d'inflation;prix min internet;prix max internet;incertitude prix ;Usinabilité;% outillage;Dureté en Hb;Rm en Mpa;Rp0.2 en Mpa;A%;Aptitude à la soudure;Traitement thermique;Aptitude au traitement thermique;Résistance à la corrosion;C;Si;Mn;P;S;N;Cr;Mo;Ni;Pb;B;V;Ceq;
;34CrS4 ;1,7037;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;55;7%;223;875;603;8;2;Trempe + revenu;1;n/a;0,335;0,2;0,75;0,0175;0,03;0;1,05;0;0;0;0;0;0,67;
;34CrS4 QT;1.7037;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;40;10%;294;1000;690;9;2;Pré-traité;0;n/a;0,335;0,2;0,75;0,0175;0,03;0;1,05;0;0;0;0;0;0,67;
;34Cr4;1,7022;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;45;7%;223;875;590;14;2;Trempe + revenu;1;n/a;0,34;0,25;0,85;0;0,0175;0;1,05;0;0;0;0;0;0,69;
;37CrS4 QT;;;1298,00;1298,00;1298,00;1298,00;1298,00;1298;01/07/2018;;;;0%;38;10%;285;898;790;16;3;Pré-traité;0;n/a;0,366;0,174;0,783;0,011;0,03;0;1,025;0,055;0,094;0;0;0;0,72;
;41CrS4 ;17039;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;68;7%;241;810;623,7;7,5;3;Trempe + revenu;1;n/a;0,415;0,2;0,75;0,0175;0,03;0;1,05;0;0;0;0;0;0,75;
;41CrS4 QT;1.7039;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;55;10%;294;1000;770;9;3;Pré-traité;0;n/a;0,415;0,2;0,75;0,0175;0,03;0;1,05;0;0;0;0;0;0,75;
;41Cr4 ;1,7035;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;58;7%;301;810;534;10;3;Trempe + revenu;1;n/a;0,415;0,2;0,75;0,0125;0,0175;0;1,05;0;0;0;0;0;0,75;
;41Cr4 QT;1,7035;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;50;10%;294;1000;660;12;3;Pré-traité;0;n/a;0,415;0,2;0,75;0,0125;0,0175;0;1,05;0;0;0;0;0;0,75;
;16CrMo4;1,7242;;1540,00;1540,00;1540,00;1540,00;1540,00;1540;01/07/2018;;;;0%;37;7%;156;1216;905;9;2;Trempe + revenu;1;n/a;0,14;0,221;0,749;0,011;0,016;0;1,083;0,217;0,232;0;0;0;0,54;
;25CrMoS4 ;1,7213;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;46;7%;212;710;545;8;2;Trempe + revenu;1;n/a;0,255;0,2;0,75;0,0175;0,03;0;1,05;0,225;0;0;0;0;0,64;
;25CrMoS4 QT;1.7213;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;40;10%;256,5;875;670;10;2;Pré-traité;0;n/a;0,255;0,2;0,75;0,0175;0,03;0;1,05;0,225;0;0;0;0;0,64;
;34CrMo4;1,7220;;1400,00;1400,00;1400,00;1400,00;1400,00;1400;01/07/2018;;;;0%;40;7%;187;975;660;13;3;Trempe + revenu;1;n/a;0,335;0,2;0,75;0,012;0,0175;0;1,05;0,225;0;0;0;0;0,72;
;42CrMo4 QT;1,7225;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;40;10%;294,5;1136;1050;12;3;Pré-traité;0;n/a;0,418;0,186;0,844;0,009;0,074;0;1,083;0,157;0,216;0;0;0;0,82;
;42CrMo4;1,7225;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;48;7%;230;770;581;8;3;Trempe + revenu;1;n/a;0,415;0,2;0,75;0,012;0,0175;0;1,05;0,225;0;0;0;0;0,80;
;42CrMoS4 QT;1.7227;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;46;10%;241;1100;830;9;3;Pré-traité;0;n/a;0,415;0,2;0,75;0,012;0,03;0;1,05;0,225;0;0;0;0;0,80;
;34CrNiMo6 + QT ;1.6582;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;37;10%;248;1100;950;9;3;Pré-traité;0;n/a;0,34;0,2;0,65;0,0175;0,0175;0;1,5;0,225;1,5;0;0;0;0,89;
;51CrV4 ;;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;45;10%;248;830;603;8;3;Trempe + revenu;1;n/a;0,5;0,23;0,82;0,015;0,015;0;1;0,015;0,07;0;0;0,121;0,87;
;51CrV4 QT;1.8159;;2800,00;2800,00;2800,00;2800,00;2800,00;2800;01/07/2018;;;;0%;35;12%;370,5;1100;800;10;3;Pré-traité;0;n/a;0,51;0,2;0,9;0,0175;0,0175;0;1,05;0,015;0;0;0;0,175;0,91;
